session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,Participant: Age,Participant: Occupation,is session complete?
2018-11-15,34,144,s1,1,09:40:48,09:48:22,34_144_287,Terapia,Lettura prescrizione,09:40:48,09:41:30,00:00:42,00:00:42,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_144_288,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:42,"","","","",TRUE
2018-11-15,34,144,s1,1,09:40:48,09:48:22,34_144_288,CuraIndiretta,Altra documentazione,09:41:30,09:45:20,00:03:50,00:03:50,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_144_289,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:03:50,"","","","",TRUE
2018-11-15,34,144,s1,1,09:40:48,09:48:22,34_144_289,Terapia,Allestimento/Riordino/smaltimento,09:45:20,09:45:45,00:00:25,00:00:25,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_144_290,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:25,"","","","",TRUE
2018-11-15,34,144,s1,1,09:40:48,09:48:22,34_144_290,Terapia,Preparazione farmaco,09:45:45,09:46:13,00:00:28,00:00:28,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_144_291,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:28,"","","","",TRUE
2018-11-15,34,144,s1,1,09:40:48,09:48:22,34_144_291,Terapia,Lettura prescrizione,09:46:13,09:48:22,00:02:09,00:02:09,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,user,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:02:09,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_292,Terapia,Allestimento/Riordino/smaltimento,09:49:09,09:49:27,00:00:18,00:00:18,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_293,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:18,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_293,Terapia,Preparazione farmaco,09:49:27,09:49:49,00:00:22,00:00:22,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_294,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:22,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_294,Terapia,Allestimento/Riordino/smaltimento,09:49:49,09:50:01,00:00:12,00:00:12,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_145_295,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:12,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_295,Spostamenti,0,09:50:01,09:50:26,00:00:25,00:00:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_296,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:25,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_296,Terapia,Allestimento/Riordino/smaltimento,09:50:26,09:50:37,00:00:11,00:00:11,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_297,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:11,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_297,Terapia,Lettura prescrizione,09:50:37,09:51:06,00:00:29,00:00:29,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,user,34_145_298,1,2,34_145_298,09:50:44,09:51:06,"","","","",00:00:22,false,"",0,"","","",00:00:29,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_298,Terapia,Preparazione farmaco,09:50:44,09:51:52,00:01:08,00:01:08,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_299,34_145_297,1,2,34_145_297,09:50:44,09:51:06,"","","","",00:00:22,false,"",0,"","","",00:01:08,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_299,Terapia,Allestimento/Riordino/smaltimento,09:51:52,09:52:12,00:00:20,00:00:20,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_145_300,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:20,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_300,CuraIndiretta,Altra documentazione,09:52:12,09:53:07,00:00:55,00:00:55,0,0,0,0,0,0,0,0,0,0,1,0,0,Stanze Servizio,34_145_301,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:55,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_301,Terapia,Preparazione farmaco,09:53:07,09:54:45,00:01:38,00:01:38,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_302,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:01:38,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_302,Terapia,Allestimento/Riordino/smaltimento,09:54:45,09:54:57,00:00:12,00:00:12,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_145_303,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:12,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_303,Terapia,Spunta STU somministrazione,09:54:57,09:55:33,00:00:36,00:00:36,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_304,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:36,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_304,Spostamenti,0,09:55:33,09:55:56,00:00:23,00:00:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_305,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:23,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_305,CuraDiretta,0,09:55:56,09:56:14,00:00:18,00:00:18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,34_145_306,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:18,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_306,Spostamenti,0,09:56:14,09:56:43,00:00:29,00:00:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_307,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:29,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_307,Terapia,Somministrazione pillole,09:56:43,09:57:04,00:00:21,00:00:21,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_145_308,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:21,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_308,Spostamenti,0,09:57:04,09:57:13,00:00:09,00:00:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_309,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:09,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_309,ComProfessionale,0,09:57:13,09:57:25,00:00:12,00:00:12,0,0,0,1,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_145_310,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:12,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_310,Spostamenti,0,09:57:25,09:57:28,00:00:03,00:00:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_311,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:03,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_311,Terapia,Allestimento/Riordino/smaltimento,09:57:28,09:57:33,00:00:05,00:00:05,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_145_312,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:05,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_312,Spostamenti,0,09:57:33,09:58:03,00:00:30,00:00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_313,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:30,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_313,Igiene Mani,0,09:58:03,09:58:15,00:00:12,00:00:12,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_145_314,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:12,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_314,Terapia,Preparazione farmaco,09:58:15,09:58:31,00:00:16,00:00:16,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_315,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:16,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_315,Terapia,Allestimento/Riordino/smaltimento,09:58:31,09:58:59,00:00:28,00:00:28,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_145_316,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:28,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_316,Terapia,Preparazione farmaco,09:58:59,09:59:22,00:00:23,00:00:23,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_317,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:23,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_317,Spostamenti,0,09:59:22,09:59:36,00:00:14,00:00:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_318,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:14,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_318,ComProfessionale,0,09:59:36,10:00:09,00:00:33,00:00:33,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_145_320,34_145_319,1,2,34_145_319,09:59:49,10:00:08,"","","","",00:00:19,false,"",0,"","","",00:00:33,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_319,Terapia,Somministrazione iniettabili,09:59:49,10:00:08,00:00:19,00:00:19,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,34_145_318,1,2,34_145_318,09:59:49,10:00:08,"","","","",00:00:19,false,"",0,"","","",00:00:19,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_320,Terapia,Allestimento/Riordino/smaltimento,10:00:09,10:00:36,00:00:27,00:00:27,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_145_321,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:27,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_321,Spostamenti,0,10:00:36,10:00:53,00:00:17,00:00:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_322,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:17,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_322,Terapia,Preparazione farmaco,10:00:53,10:01:09,00:00:16,00:00:16,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_323,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:16,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_323,Terapia,Allestimento/Riordino/smaltimento,10:01:09,10:01:28,00:00:19,00:00:19,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_145_324,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:19,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_324,Supervisione/insegnamento,0,10:01:28,10:01:46,00:00:18,00:00:18,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_325,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:18,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_325,Terapia,Allestimento/Riordino/smaltimento,10:01:46,10:04:54,00:03:08,00:03:08,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_145_326,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:03:08,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_326,Terapia,Lettura prescrizione,10:04:54,10:06:17,00:01:23,00:01:23,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_327,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:01:23,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_327,CuraIndiretta,Altra documentazione,10:06:17,10:07:23,00:01:06,00:01:06,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_328,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:01:06,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_328,Terapia,Lettura prescrizione,10:07:23,10:07:31,00:00:08,00:00:08,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_329,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:08,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_329,CuraIndiretta,Altra documentazione,10:07:31,10:08:00,00:00:29,00:00:29,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_330,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:29,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_330,Spostamenti,0,10:08:00,10:08:34,00:00:34,00:00:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_331,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:34,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_331,ComProfessionale,0,10:08:34,10:09:06,00:00:32,00:00:32,0,0,0,1,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_145_332,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:32,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_332,Spostamenti,0,10:09:06,10:09:19,00:00:13,00:00:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_333,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:13,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_333,ComProfessionale,0,10:09:19,10:09:28,00:00:09,00:00:09,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_145_334,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:09,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_334,ComProfessionale,0,10:09:28,10:10:11,00:00:43,00:00:43,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_145_335,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:43,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_335,ComProfessionale,0,10:10:11,10:10:23,00:00:12,00:00:12,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_145_336,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:12,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_336,Igiene Mani,0,10:10:23,10:10:28,00:00:05,00:00:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_337,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:05,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_337,Spostamenti,0,10:10:28,10:10:33,00:00:05,00:00:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_338,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:05,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_338,ComProfessionale,0,10:10:33,10:10:54,00:00:21,00:00:21,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_145_339,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:21,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_339,Spostamenti,0,10:10:54,10:11:08,00:00:14,00:00:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_340,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:14,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_340,Terapia,Preparazione farmaco,10:11:08,10:11:19,00:00:11,00:00:11,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_341,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:11,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_341,CuraIndiretta,Altra documentazione,10:11:19,10:11:36,00:00:17,00:00:17,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,34_145_342,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:17,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_342,Spostamenti,0,10:11:36,10:11:59,00:00:23,00:00:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_145_343,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:23,"","","","",TRUE
2018-11-15,34,145,s1,1,09:49:09,10:12:24,34_145_343,Terapia,Somministrazione iniettabili,10:11:59,10:12:24,00:00:25,00:00:25,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:25,"","","","",TRUE
