session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,num of tasks in multi 4,multi task id 4,multi start 4,multi end 4,num of tasks in multi 5,multi task id 5,multi start 5,multi end 5,num of tasks in multi 6,multi task id 6,multi start 6,multi end 6,num of tasks in multi 7,multi task id 7,multi start 7,multi end 7,num of tasks in multi 8,multi task id 8,multi start 8,multi end 8,num of tasks in multi 9,multi task id 9,multi start 9,multi end 9,num of tasks in multi 10,multi task id 10,multi start 10,multi end 10,num of tasks in multi 11,multi task id 11,multi start 11,multi end 11,num of tasks in multi 12,multi task id 12,multi start 12,multi end 12,num of tasks in multi 13,multi task id 13,multi start 13,multi end 13,num of tasks in multi 14,multi task id 14,multi start 14,multi end 14,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,Participant: Age,Participant: Occupation,is session complete?
2019-01-21,24,499,c1,1,14:36:02,14:43:37,24_499_671,Terapia,Preparazione farmaco,14:36:02,14:37:23,00:01:21,00:01:21,0,0,1,0,0,0,0,0,1,0,0,0,0,Corridoio,24_499_673,24_499_672,1,2,24_499_672,14:36:26,14:37:20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",00:00:54,false,"",0,"","","",00:01:21,"","","","",TRUE
2019-01-21,24,499,c1,1,14:36:02,14:43:37,24_499_672,ComProfessionale,0,14:36:26,14:37:20,00:00:54,00:00:54,0,0,0,1,0,0,0,0,1,0,0,0,0,Corridoio,user,24_499_671,1,2,24_499_671,14:36:26,14:37:20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",00:00:54,false,"",0,"","","",00:00:54,"","","","",TRUE
2019-01-21,24,499,c1,1,14:36:02,14:43:37,24_499_673,ComProfessionale,0,14:37:23,14:37:45,00:00:22,00:00:22,0,0,1,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,24_499_674,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:22,"","","","",TRUE
2019-01-21,24,499,c1,1,14:36:02,14:43:37,24_499_674,Terapia,Preparazione farmaco,14:37:45,14:40:27,00:02:42,00:01:39,0,0,0,0,0,0,0,0,0,0,0,0,0,Corridoio,24_499_678,"24_499_675,24_499_676",2,2,24_499_675,14:38:05,14:38:45,2,24_499_676,14:38:49,14:39:15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",00:01:06,false,24_499_677,1,24_499_677,14:39:17,14:40:20,00:01:32,00:00:07,00:01:03,"","",TRUE
2019-01-21,24,499,c1,1,14:36:02,14:43:37,24_499_675,Terapia,Allestimento/Riordino/smaltimento,14:38:05,14:38:45,00:00:40,00:00:40,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,user,24_499_674,1,2,24_499_674,14:38:05,14:38:45,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",00:00:40,false,"",0,"","","",00:00:40,"","","","",TRUE
2019-01-21,24,499,c1,1,14:36:02,14:43:37,24_499_676,ComProfessionale,0,14:38:49,14:39:15,00:00:26,00:00:26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,user,24_499_674,1,2,24_499_674,14:38:49,14:39:15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",00:00:26,false,"",0,"","","",00:00:26,"","","","",TRUE
2019-01-21,24,499,c1,1,14:36:02,14:43:37,24_499_677,ComProfessionale,0,14:39:17,14:40:20,00:01:03,00:01:03,0,1,0,0,0,0,0,0,0,0,0,0,0,Corridoio,user,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",00:00:00,true,"",0,"","","",00:01:03,"","","","",TRUE
2019-01-21,24,499,c1,1,14:36:02,14:43:37,24_499_678,Terapia,Preparazione farmaco,14:40:27,14:41:15,00:00:48,00:00:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,user,24_499_679,1,2,24_499_679,14:40:35,14:41:15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",00:00:40,false,"",0,"","","",00:00:48,"","","","",TRUE
2019-01-21,24,499,c1,1,14:36:02,14:43:37,24_499_679,ComProfessionale,0,14:40:35,14:41:21,00:00:46,00:00:46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24_499_680,24_499_678,1,2,24_499_678,14:40:35,14:41:15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",00:00:40,false,"",0,"","","",00:00:46,"","","","",TRUE
2019-01-21,24,499,c1,1,14:36:02,14:43:37,24_499_680,Terapia,Allestimento/Riordino/smaltimento,14:41:21,14:43:00,00:01:39,00:01:39,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,24_499_683,"24_499_681,24_499_682",2,2,24_499_681,14:41:28,14:41:40,2,24_499_682,14:42:24,14:42:52,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",00:00:40,false,"",0,"","","",00:01:39,"","","","",TRUE
