session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,num of tasks in multi 4,multi task id 4,multi start 4,multi end 4,num of tasks in multi 5,multi task id 5,multi start 5,multi end 5,num of tasks in multi 6,multi task id 6,multi start 6,multi end 6,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,int task id 2,int start 2,int end 2,active 1,active 2,active 3,inactive 1,inactive 2,Participant: Age,Participant: Occupation,is session complete?
2018-11-27,4,204,1,1,11:20:21,11:21:06,4_204_105,ComSociale,0,11:20:21,11:20:57,00:00:36,00:00:36,0,0,0,0,0,0,0,0,0,0,0,0,0,Corridoio,user,4_204_106,1,2,4_204_106,11:20:33,11:20:57,"","","","","","","","","","","","","","","","","","","","",00:00:24,false,"",0,"","","","","","",00:00:36,"","","","","","",TRUE
2018-11-27,4,204,1,1,11:20:21,11:21:06,4_204_106,Spostamenti,0,11:20:33,11:21:06,00:00:33,00:00:33,1,0,0,0,0,0,0,0,0,0,0,0,0,Corridoio,user,4_204_105,1,2,4_204_105,11:20:33,11:20:57,"","","","","","","","","","","","","","","","","","","","",00:00:24,false,"",0,"","","","","","",00:00:33,"","","","","","",TRUE
2018-11-27,4,205,1,1,11:24:10,11:42:50,4_205_107,Terapia,Preparazione farmaco,11:24:10,11:24:23,00:00:13,00:00:13,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,4_205_108,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:13,"","","","","","",TRUE
2018-11-27,4,205,1,1,11:24:10,11:42:50,4_205_108,Spostamenti,0,11:24:23,11:24:33,00:00:10,00:00:10,0,0,0,0,0,0,0,0,0,0,0,0,0,Corridoio,4_205_109,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:10,"","","","","","",TRUE
2018-11-27,4,205,1,1,11:24:10,11:42:50,4_205_109,Igiene Mani,0,11:24:33,11:24:52,00:00:19,00:00:19,0,0,0,0,0,0,0,0,0,0,0,0,0,Corridoio,4_205_110,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:19,"","","","","","",TRUE
2018-11-27,4,205,1,1,11:24:10,11:42:50,4_205_110,Terapia,Preparazione farmaco,11:24:52,11:25:23,00:00:31,00:00:31,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,4_205_112,4_205_111,1,2,4_205_111,11:25:05,11:25:18,"","","","","","","","","","","","","","","","","","","","",00:00:13,false,"",0,"","","","","","",00:00:31,"","","","","","",TRUE
2018-11-27,4,205,1,1,11:24:10,11:42:50,4_205_111,Spostamenti,0,11:25:05,11:25:18,00:00:13,00:00:13,0,0,0,0,0,0,0,0,0,0,0,0,0,Corridoio,user,4_205_110,1,2,4_205_110,11:25:05,11:25:18,"","","","","","","","","","","","","","","","","","","","",00:00:13,false,"",0,"","","","","","",00:00:13,"","","","","","",TRUE
2018-11-27,4,205,1,1,11:24:10,11:42:50,4_205_112,Spostamenti,0,11:25:23,11:25:27,00:00:04,00:00:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4_205_113,"",0,"","","","","","","","","","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","",00:00:04,"","","","","","",TRUE
2018-11-27,4,205,1,1,11:24:10,11:42:50,4_205_113,ComProfessionale,0,11:25:27,11:27:39,00:02:12,00:02:12,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,"4_205_114,4_205_115,4_205_116",3,2,4_205_114,11:26:18,11:26:52,3,"4_205_114,4_205_115",11:26:52,11:27:15,4,"4_205_114,4_205_115,4_205_116",11:27:15,11:27:39,"","","","","","","","","","","","",00:01:21,false,"",0,"","","","","","",00:02:12,"","","","","","",TRUE
2018-11-27,4,205,1,1,11:24:10,11:42:50,4_205_114,ComSociale,0,11:26:18,11:29:03,00:02:45,00:02:31,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,"4_205_113,4_205_115,4_205_116,4_205_117",6,2,4_205_113,11:26:18,11:26:52,3,"4_205_113,4_205_115",11:26:52,11:27:15,4,"4_205_113,4_205_115,4_205_116",11:27:15,11:27:39,3,"4_205_116,4_205_115",11:27:39,11:27:55,2,4_205_115,11:27:55,11:28:31,2,4_205_117,11:28:55,11:29:03,00:02:21,false,4_205_117,1,4_205_117,11:28:41,11:28:55,"","","",00:02:23,00:00:08,"",00:00:14,"","","",TRUE
