session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,num of tasks in multi 4,multi task id 4,multi start 4,multi end 4,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,Participant: Age,Participant: Occupation,is session complete?
2018-11-29,43,238,p01,1,12:25:15,12:36:49,43_238_1436,ComProfessionale,0,12:25:15,12:25:27,00:00:12,00:00:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43_238_1437,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:12,"","","","",TRUE
2018-11-29,43,238,p01,1,12:25:15,12:36:49,43_238_1437,Terapia,Preparazione farmaco,12:25:27,12:26:55,00:01:28,00:01:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43_238_1439,43_238_1438,1,2,43_238_1438,12:26:19,12:26:55,"","","","","","","","","","","","",00:00:36,false,"",0,"","","",00:01:28,"","","","",TRUE
2018-11-29,43,238,p01,1,12:25:15,12:36:49,43_238_1438,ComProfessionale,0,12:26:19,12:26:55,00:00:36,00:00:36,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,43_238_1439,43_238_1437,1,2,43_238_1437,12:26:19,12:26:55,"","","","","","","","","","","","",00:00:36,false,"",0,"","","",00:00:36,"","","","",TRUE
2018-11-29,43,238,p01,1,12:25:15,12:36:49,43_238_1439,Terapia,Somministrazione pillole,12:26:55,12:27:03,00:00:08,00:00:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43_238_1440,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:08,"","","","",TRUE
2018-11-29,43,238,p01,1,12:25:15,12:36:49,43_238_1440,ComProfessionale,0,12:27:03,12:27:16,00:00:13,00:00:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43_238_1441,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:13,"","","","",TRUE
2018-11-29,43,238,p01,1,12:25:15,12:36:49,43_238_1441,Terapia,Lettura prescrizione,12:27:16,12:27:43,00:00:27,00:00:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43_238_1442,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:27,"","","","",TRUE
2018-11-29,43,238,p01,1,12:25:15,12:36:49,43_238_1442,ComProfessionale,0,12:27:43,12:28:31,00:00:48,00:00:48,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,43_238_1443,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:48,"","","","",TRUE
2018-11-29,43,238,p01,1,12:25:15,12:36:49,43_238_1443,Spostamenti,0,12:28:31,12:28:35,00:00:04,00:00:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43_238_1444,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:04,"","","","",TRUE
2018-11-29,43,238,p01,1,12:25:15,12:36:49,43_238_1444,ComProfessionale,0,12:28:35,12:28:42,00:00:07,00:00:07,0,0,0,0,1,0,0,0,0,0,0,0,0,Corridoio,43_238_1445,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:07,"","","","",TRUE
2018-11-29,43,238,p01,1,12:25:15,12:36:49,43_238_1445,Terapia,Lettura prescrizione,12:28:42,12:29:08,00:00:26,00:00:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43_238_1446,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","",00:00:26,"","","","",TRUE
