session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,num of tasks in multi 3,multi task id 3,multi start 3,multi end 3,num of tasks in multi 4,multi task id 4,multi start 4,multi end 4,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,int task id 2,int start 2,int end 2,int task id 3,int start 3,int end 3,active 1,active 2,active 3,active 4,inactive 1,inactive 2,inactive 3,Participant: Age,Participant: Occupation,is session complete?
2018-10-30,34,85,o,o,09:47:25,09:58:14,34_85_126,CuraIndiretta,Altra documentazione,09:47:25,09:55:25,00:08:00,00:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_85_127,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","","","","",00:08:00,"","","","","","","","",TRUE
2018-10-30,34,85,o,o,09:47:25,09:58:14,34_85_127,Terapia,Preparazione farmaco,09:55:25,09:56:13,00:00:48,00:00:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_85_128,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","","","","",00:00:48,"","","","","","","","",TRUE
2018-10-30,34,85,o,o,09:47:25,09:58:14,34_85_128,CuraIndiretta,Altra documentazione,09:56:13,09:56:38,00:00:25,00:00:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_85_129,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","","","","",00:00:25,"","","","","","","","",TRUE
2018-10-30,34,85,o,o,09:47:25,09:58:14,34_85_129,Terapia,Lettura prescrizione,09:56:38,09:57:28,00:00:50,00:00:50,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_85_130,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","","","","",00:00:50,"","","","","","","","",TRUE
2018-10-30,34,85,o,o,09:47:25,09:58:14,34_85_130,CuraIndiretta,Altra documentazione,09:57:28,09:58:14,00:00:46,00:00:46,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanze Servizio,session,"",0,"","","","","","","","","","","","","","","","",00:00:00,false,"",0,"","","","","","","","","",00:00:46,"","","","","","","","",TRUE
2018-10-30,34,86,o,o,09:59:04,10:09:33,34_86_131,Terapia,Lettura prescrizione,09:59:04,10:00:12,00:01:08,00:01:08,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,user,34_86_132,1,2,34_86_132,09:59:31,10:00:12,"","","","","","","","","","","","",00:00:41,false,"",0,"","","","","","","","","",00:01:08,"","","","","","","","",TRUE
2018-10-30,34,86,o,o,09:59:04,10:09:33,34_86_132,Terapia,Allestimento/Riordino/smaltimento,09:59:31,10:02:50,00:03:19,00:03:19,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_86_135,"34_86_131,34_86_133,34_86_134",3,2,34_86_131,09:59:31,10:00:12,2,34_86_133,10:00:24,10:01:13,2,34_86_134,10:01:54,10:02:24,"","","","",00:02:00,false,"",0,"","","","","","","","","",00:03:19,"","","","","","","","",TRUE
2018-10-30,34,86,o,o,09:59:04,10:09:33,34_86_133,ComProfessionale,0,10:00:24,10:01:13,00:00:49,00:00:49,0,1,0,0,0,0,0,0,1,0,0,0,0,Corridoio,user,34_86_132,1,2,34_86_132,10:00:24,10:01:13,"","","","","","","","","","","","",00:00:49,false,"",0,"","","","","","","","","",00:00:49,"","","","","","","","",TRUE
2018-10-30,34,86,o,o,09:59:04,10:09:33,34_86_134,ComProfessionale,0,10:01:54,10:02:24,00:00:30,00:00:30,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,34_86_132,1,2,34_86_132,10:01:54,10:02:24,"","","","","","","","","","","","",00:00:30,false,"",0,"","","","","","","","","",00:00:30,"","","","","","","","",TRUE
2018-10-30,34,86,o,o,09:59:04,10:09:33,34_86_135,ComProfessionale,0,10:02:50,10:05:07,00:02:17,00:01:28,0,1,0,0,0,0,0,0,1,0,0,0,0,Corridoio,user,"34_86_136,34_86_137,34_86_138",3,2,34_86_136,10:03:03,10:03:31,2,34_86_137,10:04:12,10:04:50,2,34_86_138,10:05:06,10:05:07,"","","","",00:01:07,false,"34_86_137,34_86_138",2,34_86_137,10:03:39,10:04:12,34_86_138,10:04:50,10:05:06,"","","",00:00:49,00:00:38,00:00:01,"",00:00:33,00:00:16,"","","",TRUE
